id,Event,Distance,Sex,Ranking,Time 1,Miliseconds,Relay,When,Swimmer,id2,Swimmer nationality,nCountry,Continent nationality,nContinent,Date,Meet,Meet location
swim472,100 m breaststroke,100,Male,31,01:01.49,61049,,Final,Adrian Moorhouse,Adrian_Moorhouse,United Kingdom,7,Europe,187,"Tuesday, August 15, 1989",,"Bonn, West Germany"
swim473,100 m breaststroke,100,Male,32,01:01.49,61049,,Final,Adrian Moorhouse,Adrian_Moorhouse,United Kingdom,13,Europe,232,"Thursday, January 25, 1990",,"Auckland, New Zealand"
swim474,100 m breaststroke,100,Male,33,01:01.49,61049,,Final,Adrian Moorhouse,Adrian_Moorhouse,United Kingdom,11,Europe,214,"Thursday, July 26, 1990",,"London, United Kingdom"
swim475,100 m breaststroke,100,Male,34,01:01.49,61049,,Final,Norbert RÛzsa,Norbert_Rozsa,Hungary,45,Europe,635,"Monday, January 7, 1991",,"Perth, Australia"
swim476,100 m breaststroke,100,Male,35,01:01.45,61045,,Final,Norbert RÛzsa,Norbert_Rozsa,Hungary,46,Europe,636,"Monday, January 7, 1991",,"Perth, Australia"
swim477,100 m breaststroke,100,Male,36,01:01.45,61045,,Final,Vasili Ivanov,Vasili_Ivanov,Soviet Union,22,Europe,126,"Tuesday, June 11, 1991",,"Moscow, Soviet Union"
swim478,100 m breaststroke,100,Male,37,01:01.29,61029,,Final,Norbert RÛzsa,Norbert_Rozsa,Hungary,10,Europe,174,"Tuesday, August 20, 1991",,"Athens, Greece"
swim479,100 m breaststroke,100,Male,38,01:00.95,60095,,Final,K·roly G¸ttler,Karoly_Guttler,Hungary,5,Europe,157,"Tuesday, August 3, 1993",,"Sheffield, United Kingdom"
swim481,100 m breaststroke,100,Male,40,01:00.36,60036,,Final,Roman Sludnov,Roman_Sludnov,Russia,6,Europe,208,"Thursday, June 15, 2000",,"Moscow, Russia"
swim480,100 m breaststroke,100,Male,39,01:00.60,60006,,Final,Frederik Deburghgraeve,Frederik_Deburghgraeve,Belgium,8,Europe,535,"Saturday, July 20, 1996",,"Atlanta, United States"
